"airport_code","date_year","season","days_in_season","avg_temp_c","highest_temp_c","lowest_temp_c","total_precipitation_mm","rainy_days","total_snow_mm","snowy_days","avg_wind_speed_kmh","max_wind_peakgust_kmh"
LAX,2026.0,winter,28,16.0607142857142857,30.6,5.0,87.1,6,,0,11.1678571428571429,
JFK,2026.0,winter,28,-1.1000000000000000,9.4,-16.1,64.5,8,402,25,19.3607142857142857,
MIA,2026.0,winter,28,18.9500000000000000,31.1,1.7,2.0,1,0,0,11.2142857142857143,
LAX,2026.0,spring,31,18.3000000000000000,32.0,11.0,,0,,0,10.6580645161290323,
JFK,2026.0,spring,31,5.9225806451612903,20.0,-6.1,84.0,11,36,4,18.5516129032258065,
MIA,2026.0,spring,31,23.6032258064516129,30.6,13.3,111.5,13,0,0,14.5387096774193548,
JFK,2026.0,,31,-1.0419354838709677,12.2,-12.8,62.8,8,120,10,21.1483870967741935,
MIA,2026.0,,31,20.0129032258064516,31.1,6.7,41.7,6,0,0,10.7483870967741935,
LAX,2026.0,,31,15.8419354838709677,29.4,5.0,37.6,7,,0,8.5193548387096774,
