"airport_code","station_id","date_year","week_number","avg_temp_c","max_temp_c","min_temp_c","total_precipitation_mm","total_snow_mm","avg_wind_direction","avg_wind_speed_kmh","max_wind_peakgust_kmh","avg_pressure_hpa","total_sun_minutes"
JFK,74486,2026.0,1.0,-2.3750000000000000,2.2,-6.1,0.5,0,,21.0750000000000000,,1012.8750000000000000,
LAX,72295,2026.0,1.0,15.2250000000000000,17.8,11.7,36.0,,,9.9000000000000000,,1017.1250000000000000,
MIA,72202,2026.0,1.0,17.0000000000000000,26.7,7.8,0.0,0,,6.1250000000000000,,1017.2750000000000000,
JFK,74486,2026.0,2.0,4.7857142857142857,12.2,-4.4,23.2,0,,15.8000000000000000,,1016.7000000000000000,
LAX,72295,2026.0,2.0,14.1285714285714286,23.9,5.0,1.3,,,9.0142857142857143,,1020.5857142857142857,
MIA,72202,2026.0,2.0,23.1714285714285714,28.9,15.6,0.0,0,,9.8285714285714286,,1019.3428571428571429,
JFK,74486,2026.0,3.0,2.1000000000000000,7.8,-5.6,10.4,2,,20.6857142857142857,,1011.8571428571428571,
LAX,72295,2026.0,3.0,17.5000000000000000,28.3,8.3,0.0,,,6.6285714285714286,,1018.6000000000000000,
MIA,72202,2026.0,3.0,20.0142857142857143,27.8,6.7,35.4,0,,10.2428571428571429,,1017.3857142857142857,
JFK,74486,2026.0,4.0,-3.3285714285714286,8.9,-12.2,28.7,6,,25.2571428571428571,,1024.7714285714285714,
LAX,72295,2026.0,4.0,15.0142857142857143,23.9,7.8,0.3,,,9.6000000000000000,,1016.5428571428571429,
MIA,72202,2026.0,4.0,20.7857142857142857,28.3,8.3,5.8,0,,13.2285714285714286,,1020.5142857142857143,
JFK,74486,2026.0,5.0,-8.0714285714285714,-2.8,-12.8,0.0,127,,24.7000000000000000,,1017.0571428571428571,
LAX,72295,2026.0,5.0,17.6142857142857143,29.4,9.4,0.0,,,8.3714285714285714,,1021.5000000000000000,
MIA,72202,2026.0,5.0,15.9571428571428571,31.1,1.7,0.5,0,,13.3142857142857143,,1020.4857142857142857,
JFK,74486,2026.0,6.0,-5.0714285714285714,1.7,-16.1,0.0,95,,22.1142857142857143,,1016.2714285714285714,
LAX,72295,2026.0,6.0,18.0857142857142857,30.6,11.7,0.0,,,8.4428571428571429,,1020.0428571428571429,
MIA,72202,2026.0,6.0,14.8142857142857143,26.1,3.3,2.0,0,,10.5857142857142857,,1021.7714285714285714,
JFK,74486,2026.0,7.0,-0.98571428571428571429,7.2,-12.8,1.3,62,,18.5142857142857143,,1017.9428571428571429,
LAX,72295,2026.0,7.0,15.4857142857142857,25.0,8.9,16.2,,,11.1142857142857143,,1016.8200000000000000,
MIA,72202,2026.0,7.0,20.4714285714285714,27.2,12.2,0.0,0,,9.7142857142857143,,1020.0000000000000000,
JFK,74486,2026.0,8.0,2.3000000000000000,8.9,-1.7,31.2,17,,15.8857142857142857,,1015.9428571428571429,
LAX,72295,2026.0,8.0,12.4857142857142857,20.6,5.0,70.9,,,17.3428571428571429,,1015.6000000000000000,
MIA,72202,2026.0,8.0,23.3857142857142857,31.1,16.7,0.0,0,,12.1285714285714286,,1017.6714285714285714,
JFK,74486,2026.0,9.0,0.92857142857142857143,9.4,-5.6,32.0,226,,18.6142857142857143,,1020.1666666666666667,
LAX,72295,2026.0,9.0,18.0571428571428571,30.0,11.1,0.0,,,7.9285714285714286,,1014.8000000000000000,
MIA,72202,2026.0,9.0,19.4571428571428571,30.6,6.1,6.1,0,,11.1428571428571429,,1018.3166666666666667,
JFK,74486,2026.0,10.0,3.6714285714285714,19.4,-6.1,52.1,23,,12.1428571428571429,,1025.2857142857142857,
LAX,72295,2026.0,10.0,17.9857142857142857,31.0,11.0,,,,12.8285714285714286,,1014.8142857142857143,
MIA,72202,2026.0,10.0,25.0571428571428571,28.9,21.7,8.9,0,,20.5142857142857143,,1020.6000000000000000,
JFK,74486,2026.0,11.0,7.1714285714285714,19.4,-0.6,6.6,0,,18.2142857142857143,,1016.4142857142857143,
LAX,72295,2026.0,11.0,18.0428571428571429,30.0,12.0,,,,10.3285714285714286,,1016.7428571428571429,
MIA,72202,2026.0,11.0,24.9714285714285714,30.6,21.1,29.0,0,,12.5571428571428571,,1018.2285714285714286,
JFK,74486,2026.0,12.0,5.3571428571428571,14.4,-3.9,16.1,0,,22.1714285714285714,,1015.4571428571428571,
LAX,72295,2026.0,12.0,20.0428571428571429,32.0,14.0,,,,10.1285714285714286,,1014.3142857142857143,
MIA,72202,2026.0,12.0,20.7428571428571429,30.6,13.3,22.9,0,,12.4000000000000000,,1017.1285714285714286,
JFK,74486,2026.0,13.0,6.2857142857142857,18.3,-1.7,9.2,0,,21.9142857142857143,,1022.3000000000000000,
LAX,72295,2026.0,13.0,17.2428571428571429,22.0,14.0,,,,10.7428571428571429,,1014.6166666666666667,
MIA,72202,2026.0,13.0,23.6428571428571429,29.4,16.1,15.7,0,,11.4714285714285714,,1019.6857142857142857,
JFK,74486,2026.0,14.0,12.0000000000000000,20.0,5.6,0.0,0,,18.2000000000000000,,1023.9000000000000000,
LAX,72295,2026.0,14.0,17.7000000000000000,20.6,13.9,,,,5.1500000000000000,,1014.8000000000000000,
MIA,72202,2026.0,14.0,23.7000000000000000,27.8,20.6,28.9,0,,21.7500000000000000,,1022.6000000000000000,
